,0
1948-01-01,-1.689573049545288
1948-02-01,-1.7722223997116089
1948-03-01,-1.9120674133300781
1948-04-01,-2.7180492877960205
1948-05-01,-2.041656255722046
1948-06-01,-1.7905503511428833
1948-07-01,-0.6886876225471497
1948-08-01,0.17437876760959625
1948-09-01,-0.19981713593006134
1948-10-01,-0.6974274516105652
1948-11-01,-1.693053960800171
1948-12-01,-2.7756597995758057
1949-01-01,-2.750394582748413
1949-02-01,-2.618213176727295
1949-03-01,-2.1822288036346436
1949-04-01,-0.5351523160934448
1949-05-01,-0.6462650299072266
1949-06-01,0.6910762786865234
1949-07-01,0.011577735655009747
1949-08-01,0.8295497298240662
1949-09-01,0.8936814665794373
1949-10-01,-0.30748647451400757
1949-11-01,-0.8477776646614075
1949-12-01,-0.9335261583328247
1950-01-01,-0.5116373896598816
1950-02-01,-0.08541706949472427
1950-03-01,0.022358572110533714
1950-04-01,0.0470317043364048
1950-05-01,0.3504478335380554
1950-06-01,-0.3859436810016632
1950-07-01,-0.061869338154792786
1950-08-01,0.5774716734886169
1950-09-01,-0.8048316240310669
1950-10-01,-1.136531114578247
1950-11-01,-0.8156632781028748
1950-12-01,0.684450626373291
1951-01-01,-0.5223169326782227
1951-02-01,-0.8329430222511292
1951-03-01,0.3218194544315338
1951-04-01,-1.273937702178955
1951-05-01,0.8503159284591675
1951-06-01,0.10989948362112045
1951-07-01,0.9524852633476257
1951-08-01,1.9524714946746826
1951-09-01,1.1576203107833862
1951-10-01,0.47292956709861755
1951-11-01,0.8575815558433533
1951-12-01,0.044654108583927155
1952-01-01,0.39342939853668213
1952-02-01,0.8407073020935059
1952-03-01,0.8734301924705505
1952-04-01,-0.7761409282684326
1952-05-01,-0.7928330302238464
1952-06-01,0.2555900812149048
1952-07-01,0.5483944416046143
1952-08-01,0.984673798084259
1952-09-01,-0.4605555236339569
1952-10-01,0.5874943733215332
1952-11-01,-0.5335388779640198
1952-12-01,1.097084403038025
1953-01-01,0.4711069166660309
1953-02-01,0.4003428816795349
1953-03-01,0.012569327838718891
1953-04-01,0.026781486347317696
1953-05-01,0.801300048828125
1953-06-01,-0.07357863336801529
1953-07-01,-0.42195364832878113
1953-08-01,0.3150673806667328
1953-09-01,1.2554062604904175
1953-10-01,0.539678692817688
1953-11-01,0.41099604964256287
1953-12-01,0.68593430519104
1954-01-01,-0.28592202067375183
1954-02-01,-0.009463965892791748
1954-03-01,-0.16514812409877777
1954-04-01,-1.2669020891189575
1954-05-01,-0.7344133257865906
1954-06-01,-0.30564790964126587
1954-07-01,-0.877577543258667
1954-08-01,1.2613050937652588
1954-09-01,1.6449183225631714
1954-10-01,-0.6185601949691772
1954-11-01,-1.1048215627670288
1954-12-01,-1.1784638166427612
1955-01-01,-0.5326949954032898
1955-02-01,-1.162917971611023
1955-03-01,-1.0135947465896606
1955-04-01,-1.2756741046905518
1955-05-01,-1.9099526405334473
1955-06-01,-0.8755958676338196
1955-07-01,0.691612720489502
1955-08-01,1.2474879026412964
1955-09-01,1.9675318002700806
1955-10-01,-0.21595750749111176
1955-11-01,-1.3963972330093384
1955-12-01,-0.3997722864151001
1956-01-01,-1.0069714784622192
1956-02-01,-1.4137247800827026
1956-03-01,-0.9176508784294128
1956-04-01,-0.9215355515480042
1956-05-01,-1.4040040969848633
1956-06-01,-2.6356091499328613
1956-07-01,-0.2892129719257355
1956-08-01,0.9462010860443115
1956-09-01,0.8917611837387085
1956-10-01,-0.37569600343704224
1956-11-01,-1.523371934890747
1956-12-01,-2.2222137451171875
1957-01-01,-2.0400071144104004
1957-02-01,-1.6363341808319092
1957-03-01,-1.6882551908493042
1957-04-01,-1.68839430809021
1957-05-01,-1.150003433227539
1957-06-01,-0.4973098337650299
1957-07-01,0.6989495754241943
1957-08-01,1.5486650466918945
1957-09-01,1.6117466688156128
1957-10-01,1.0452479124069214
1957-11-01,0.01982038840651512
1957-12-01,0.619540810585022
1958-01-01,1.0196003913879395
1958-02-01,0.08145447820425034
1958-03-01,0.6058906316757202
1958-04-01,1.5752711296081543
1958-05-01,1.2712795734405518
1958-06-01,0.6496202945709229
1958-07-01,1.5085734128952026
1958-08-01,0.8032437562942505
1958-09-01,1.2154697179794312
1958-10-01,0.8230328559875488
1958-11-01,-0.35016950964927673
1958-12-01,0.8465686440467834
1959-01-01,0.2637600004673004
1959-02-01,-0.8957176208496094
1959-03-01,-0.7719447612762451
1959-04-01,-0.26826539635658264
1959-05-01,0.04719287529587746
1959-06-01,0.5833858251571655
1959-07-01,1.58233642578125
1959-08-01,1.1133968830108643
1959-09-01,-0.25712066888809204
1959-10-01,0.3411753177642822
1959-11-01,-1.7745347023010254
1959-12-01,-1.641069769859314
1960-01-01,-0.6172900199890137
1960-02-01,-0.9307809472084045
1960-03-01,-1.3282747268676758
1960-04-01,-0.7050548195838928
1960-05-01,-1.027151107788086
1960-06-01,-0.23374857008457184
1960-07-01,0.3605489134788513
1960-08-01,1.4578951597213745
1960-09-01,0.5440148115158081
1960-10-01,1.6795134544372559
1960-11-01,-0.8559251427650452
1960-12-01,-0.799645721912384
1961-01-01,-0.6209433674812317
1961-02-01,-2.06235671043396
1961-03-01,-0.8097302913665771
1961-04-01,-0.5922479629516602
1961-05-01,-0.42467978596687317
1961-06-01,-0.408931165933609
1961-07-01,-0.21901805698871613
1961-08-01,0.6624563932418823
1961-09-01,0.795343279838562
1961-10-01,-0.48680591583251953
1961-11-01,-1.6084507703781128
1961-12-01,-1.7566261291503906
1962-01-01,-1.5605031251907349
1962-02-01,-0.8541841506958008
